CustomerID,description,preference_score,preference_strength,frequency,monetary,recency_days
12362,SPACEBOY LUNCH BOX ,0.788318,Moderate Preference,3,70.200000,30
12362,PLASTERS IN TIN WOODLAND ANIMALS,0.774802,Moderate Preference,3,59.400000,30
12362,ROUND SNACK BOXES SET OF4 WOODLAND ,0.615695,Moderate Preference,2,35.400000,30
12363,BISCUIT TIN VINTAGE CHRISTMAS,0.977500,Strong Preference,1,69.360000,19
12363,STORAGE TIN VINTAGE DOILY ,0.977500,Strong Preference,1,69.360000,19
12363,BOX OF 6 MINI VINTAGE CRACKERS,0.896187,Strong Preference,1,29.880000,19
12363,VINTAGE CHRISTMAS BUNTING,0.895609,Strong Preference,1,29.700000,19
12363,60 CAKE CASES VINTAGE CHRISTMAS,0.857169,Strong Preference,1,19.800000,19
12364,POSTAGE,0.890000,Strong Preference,1,45.000000,22
12364,SET/10 BLUE POLKADOT PARTY CANDLES,0.846707,Strong Preference,1,30.000000,22
12364,SET/10 IVORY POLKADOT PARTY CANDLES,0.846707,Strong Preference,1,30.000000,22
12364,SET/10 PINK POLKADOT PARTY CANDLES,0.846707,Strong Preference,1,30.000000,22
12364,SET/10 RED POLKADOT PARTY CANDLES,0.846707,Strong Preference,1,30.000000,22
12365,Manual,0.890000,Strong Preference,1,320.690000,201
12365,ANT WHITE WIRE HEART SPIRAL,0.690603,Moderate Preference,1,19.750000,201
12365,CREAM SLICE FLANNEL CHOCOLATE SPOT ,0.683036,Moderate Preference,1,17.700000,201
12365,CREAM SLICE FLANNEL PINK SPOT ,0.683036,Moderate Preference,1,17.700000,201
12365,GREEN REGENCY TEACUP AND SAUCER,0.683036,Moderate Preference,1,17.700000,201
12370,LANTERN CREAM GAZEBO ,0.857608,Strong Preference,2,74.250000,184
12370,LARGE CAKE TOWEL PINK SPOTS,0.831797,Strong Preference,2,54.000000,184
12370,FAIRY CAKE FLANNEL ASSORTED COLOUR,0.818680,Strong Preference,2,45.900000,184
12370,WHITE TALL PORCELAIN T-LIGHT HOLDER,0.779241,Moderate Preference,2,28.050000,184
12370,FELTCRAFT CUSHION BUTTERFLY,0.761785,Moderate Preference,2,22.500000,184
12372,ROUND SNACK BOXES SET OF4 WOODLAND ,0.930777,Strong Preference,2,106.200000,122
12372,ROUND SNACK BOXES SET OF 4 FRUITS ,0.914563,Strong Preference,2,88.500000,122
12372,RED RETROSPOT MINI CASES,0.905041,Strong Preference,2,79.500000,122
12372,POSTAGE,0.896255,Strong Preference,2,72.000000,122
12372,DOLLY GIRL LUNCH BOX,0.894012,Strong Preference,2,70.200000,122
12373,POSTAGE,0.890000,Strong Preference,1,40.000000,221
12373,JUMBO BAG WOODLAND ANIMALS,0.887207,Strong Preference,1,39.000000,221
12373,JUMBO STORAGE BAG SUKI,0.887207,Strong Preference,1,39.000000,221
12373,ROUND SNACK BOXES SET OF4 WOODLAND ,0.876541,Strong Preference,1,35.400000,221
12373,LUNCH BAG CARS BLUE,0.868827,Strong Preference,1,33.000000,221
12375,POSTAGE,0.890000,Strong Preference,1,40.000000,8
12375,CHILDRENS CUTLERY POLKADOT PINK,0.869490,Strong Preference,1,33.200000,8
12375,ASSORTED COLOUR MINI CASES,0.864763,Strong Preference,1,31.800000,8
12375,JUMBO BAG OWLS,0.818560,Strong Preference,1,20.800000,8
12375,JUMBO BAG PEARS,0.818560,Strong Preference,1,20.800000,8
12377,MINI JIGSAW CIRCUS PARADE ,0.776479,Moderate Preference,2,20.160000,225
12377,MINI JIGSAW DOLLY GIRL,0.776479,Moderate Preference,2,20.160000,225
12377,MINI JIGSAW SPACEBOY,0.776479,Moderate Preference,2,20.160000,225
12377,SPACEBOY BIRTHDAY CARD,0.750477,Moderate Preference,2,15.120000,225
12377,ROBOT BIRTHDAY CARD,0.714644,Moderate Preference,2,10.080000,225
12378,PACK OF SIX LED TEA LIGHTS,0.890000,Strong Preference,1,69.360000,39
12378,GIRLS ALPHABET IRON ON PATCHES ,0.876679,Strong Preference,1,60.480000,39
12378,BIRDS MOBILE VINTAGE DESIGN,0.864870,Strong Preference,1,53.550000,39
12378,"TRAY, BREAKFAST IN BED",0.860143,Strong Preference,1,51.000000,39
12378,MOBILE VINTAGE HEARTS ,0.847067,Strong Preference,1,44.550000,39
12379,RED RETROSPOT MINI CASES,0.890000,Strong Preference,1,76.200000,79
12379,POSTAGE,0.839968,Strong Preference,1,45.000000,79
12379,POLKADOT PEN,0.830716,Strong Preference,1,40.800000,79
12379,SET OF 6 SOLDIER SKITTLES,0.801832,Strong Preference,1,30.000000,79
12379,RED RETROSPOT BIG BOWL,0.800892,Strong Preference,1,29.700000,79
12380,POSTAGE,0.890000,Strong Preference,1,45.000000,95
12380,CHILDRENS CUTLERY DOLLY GIRL ,0.857483,Strong Preference,1,33.200000,95
12380,STRAWBERRY   PICNIC BAG,0.844923,Strong Preference,1,29.500000,95
12380,JUMBO BAG APPLES,0.808084,Strong Preference,1,20.800000,95
12380,JUMBO BAG PINK POLKADOT,0.808084,Strong Preference,1,20.800000,95
12381,POSTAGE,0.890000,Strong Preference,1,240.000000,29
12381,SET 40 HEART SHAPE PETIT FOUR CASES,0.723506,Moderate Preference,1,26.400000,29
12381,3 PIECE SPACEBOY COOKIE CUTTER SET,0.720077,Moderate Preference,1,25.200000,29
12381,CHARLIE AND LOLA FIGURES TINS,0.714626,Moderate Preference,1,23.400000,29
12381,CUPCAKE LACE PAPER SET 6,0.714626,Moderate Preference,1,23.400000,29
12383,POSTAGE,0.954122,Strong Preference,5,222.000000,94
12383,WHITE WOOD GARDEN PLANT LADDER,0.670187,Moderate Preference,3,63.850000,94
12383,"TRAY, BREAKFAST IN BED",0.591959,Moderate Preference,2,78.450000,94
12383,PACK OF 12 TRADITIONAL CRAYONS,0.517733,Moderate Preference,2,61.920000,241
12383,CHILDRENS CUTLERY POLKADOT PINK,0.505876,Moderate Preference,2,33.200000,148
12384,POSTAGE,0.890000,Strong Preference,1,80.000000,31
12384,SET OF 10 LED DOLLY LIGHTS,0.781393,Moderate Preference,1,25.000000,31
12384,REGENCY TEAPOT ROSES ,0.760524,Moderate Preference,1,19.900000,31
12384,PICNIC BOXES SET OF 3 RETROSPOT ,0.760066,Moderate Preference,1,19.800000,31
12384,SET OF 3 REGENCY CAKE TINS,0.760066,Moderate Preference,1,19.800000,31
12386,PORCELAIN ROSE LARGE ,0.900507,Strong Preference,1,75.000000,247
12386,PORCELAIN ROSE SMALL,0.891136,Strong Preference,1,68.000000,247
12386,IVORY GIANT GARDEN THERMOMETER,0.885294,Strong Preference,1,71.400000,276
12386,ASSORTED BOTTLE TOP  MAGNETS ,0.837435,Strong Preference,1,43.200000,276
12386,20 DOLLY PEGS RETROSPOT,0.803032,Strong Preference,1,30.000000,276
12388,PARTY BUNTING,0.965424,Strong Preference,4,142.050000,58
12388,PINK HAPPY BIRTHDAY BUNTING,0.801604,Strong Preference,3,81.750000,58
12388,IVORY KNITTED MUG COSY ,0.774961,Moderate Preference,3,59.400000,58
12388,HANGING HEART JAR T-LIGHT HOLDER,0.751915,Moderate Preference,3,45.000000,58
12388,FELT EGG COSY CHICKEN,0.743812,Moderate Preference,3,40.800000,58
12393,LUNCH BAG  BLACK SKULL.,0.838050,Strong Preference,2,49.500000,155
12393,LUNCH BAG SPACEBOY DESIGN ,0.838050,Strong Preference,2,49.500000,155
12393,LUNCH BAG WOODLAND,0.838050,Strong Preference,2,49.500000,155
12393,SILK PURSE BABUSHKA PINK,0.815733,Strong Preference,2,37.800000,155
12393,SILK PURSE BABUSHKA RED,0.656240,Moderate Preference,1,141.600000,239
12394,CHILDRENS CUTLERY SPACEBOY ,0.890000,Strong Preference,1,33.200000,127
12394,POSTAGE,0.878319,Strong Preference,1,30.000000,127
12394,RED RETROSPOT PLATE ,0.866386,Strong Preference,1,27.040000,127
12394,CIRCUS PARADE LUNCH BOX ,0.849853,Strong Preference,1,23.400000,127
12394,DOLLY GIRL LUNCH BOX,0.849853,Strong Preference,1,23.400000,127
12395,POSTAGE,0.982143,Strong Preference,8,225.000000,22
12395,ROUND SNACK BOXES SET OF4 WOODLAND ,0.658297,Moderate Preference,4,70.800000,22
12395,POLKADOT PEN,0.588293,Moderate Preference,3,122.400000,171
12395,CHARLOTTE BAG SUKI DESIGN,0.563838,Moderate Preference,3,89.000000,171
12395,WOODLAND CHARLOTTE BAG,0.526372,Moderate Preference,3,34.000000,71
12397,POSTAGE,0.890000,Strong Preference,1,105.000000,45
12397,REGENCY CAKESTAND 3 TIER,0.800524,Strong Preference,1,38.250000,45
12397, SPACEBOY BABY GIFT SET,0.789945,Moderate Preference,1,33.900000,45
12397,CIRCUS PARADE BABY GIFT SET,0.789945,Moderate Preference,1,33.900000,45
12397,DOLLY GIRL BABY GIFT SET,0.789945,Moderate Preference,1,33.900000,45
12399,POSTAGE,0.964108,Strong Preference,4,75.000000,29
12399,LUNCH BAG RED RETROSPOT,0.855541,Strong Preference,3,82.500000,29
12399,PACK OF 60 DINOSAUR CAKE CASES,0.614626,Moderate Preference,2,39.600000,123
12399,PACK OF 60 MUSHROOM CAKE CASES,0.614626,Moderate Preference,2,39.600000,123
12399,PACK OF 60 SPACEBOY CAKE CASES,0.614626,Moderate Preference,2,39.600000,123
12401,REGENCY CAKESTAND 3 TIER,0.890000,Strong Preference,1,25.500000,213
12401,EDWARDIAN PARASOL BLACK,0.846345,Strong Preference,1,17.850000,213
12401,CHERRY BLOSSOM DECORATIVE FLASK,0.825336,Strong Preference,1,15.000000,213
12401,POSTAGE,0.825336,Strong Preference,1,15.000000,213
12401,RED RETROSPOT CAKE STAND,0.787931,Moderate Preference,1,10.950000,213
12402,ROUND SNACK BOXES SET OF4 WOODLAND ,0.890000,Strong Preference,1,35.400000,233
12402,POSTAGE,0.871237,Strong Preference,1,30.000000,233
12402,DOLLY GIRL LUNCH BOX,0.843264,Strong Preference,1,23.400000,233
12402,JUMBO BAG DOLLY GIRL DESIGN,0.822915,Strong Preference,1,19.500000,233
12402,JUMBO BAG PINK VINTAGE PAISLEY,0.822915,Strong Preference,1,19.500000,233
12405,POSTAGE,0.890000,Strong Preference,1,320.000000,58
12405,RED RETROSPOT MINI CASES,0.789343,Moderate Preference,1,79.500000,58
12405,WOODEN REGATTA BUNTING,0.781625,Moderate Preference,1,71.400000,58
12405,ROUND SNACK BOXES SET OF4 WOODLAND ,0.760421,Moderate Preference,1,53.100000,58
12405,BLUE HAPPY BIRTHDAY BUNTING,0.754759,Moderate Preference,1,49.050000,58
12406,LUNCH BAG SUKI DESIGN ,0.890000,Strong Preference,1,186.250000,93
12406,GUMBALL COAT RACK,0.818252,Strong Preference,1,75.600000,93
12406,REGENCY TEA STRAINER,0.817621,Strong Preference,1,75.000000,93
12406,STORAGE TIN VINTAGE LEAF,0.811909,Strong Preference,1,69.780000,93
12406,DOORMAT WELCOME PUPPIES,0.809281,Strong Preference,1,67.500000,93
12407,POSTAGE,0.965287,Strong Preference,4,165.000000,43
12407,FAIRY CAKES NOTEBOOK A7 SIZE,0.807354,Strong Preference,3,100.480000,43
12407,DOUGHNUT LIP GLOSS ,0.652881,Moderate Preference,2,75.000000,66
12407,FAIRY CAKE FLANNEL ASSORTED COLOUR,0.645948,Moderate Preference,2,68.850000,66
12407,CERAMIC CAKE DESIGN SPOTTED MUG,0.625771,Moderate Preference,2,53.640000,66
12408,POSTAGE,0.985294,Strong Preference,3,195.000000,8
12408,DOLLY GIRL LUNCH BOX,0.977090,Strong Preference,3,175.800000,8
12408,ROUND SNACK BOXES SET OF 4 FRUITS ,0.976955,Strong Preference,3,175.500000,8
12408,RECIPE BOX PANTRY YELLOW DESIGN,0.882860,Strong Preference,3,53.100000,8
12408,ROUND SNACK BOXES SET OF4 WOODLAND ,0.802476,Strong Preference,2,140.100000,8
12409,16 PIECE CUTLERY SET PANTRY DESIGN,0.890000,Strong Preference,1,300.000000,92
12409,CHILDRENS CUTLERY SPACEBOY ,0.882273,Strong Preference,1,270.000000,92
12409,PARTY BUNTING,0.862979,Strong Preference,1,207.500000,92
12409,SPOTTY BUNTING,0.862979,Strong Preference,1,207.500000,92
12409,TOADSTOOL BEDSIDE LIGHT ,0.859547,Strong Preference,1,198.000000,92
12410,POSTAGE,0.890000,Strong Preference,1,160.000000,218
12410,FRENCH BATHROOM SIGN BLUE METAL,0.776132,Moderate Preference,1,39.600000,218
12410,BLACK KITCHEN SCALES,0.763865,Moderate Preference,1,34.000000,218
12410,MINT KITCHEN SCALES,0.763865,Moderate Preference,1,34.000000,218
12410,ASSORTED COLOUR MINI CASES,0.758499,Moderate Preference,1,31.800000,218
12412,CHILDRENS CUTLERY DOLLY GIRL ,0.930506,Strong Preference,2,66.400000,47
12412,CHILDRENS CUTLERY SPACEBOY ,0.930506,Strong Preference,2,66.400000,47
12412,POSTAGE,0.910227,Strong Preference,2,54.000000,47
12412,DOLLY GIRL LUNCH BOX,0.896231,Strong Preference,2,46.800000,47
12412,SPACEBOY LUNCH BOX ,0.896231,Strong Preference,2,46.800000,47
12413,RED RETROSPOT PICNIC BAG,0.910199,Strong Preference,2,44.250000,146
12413,JUMBO BAG RED RETROSPOT,0.900626,Strong Preference,2,40.300000,146
12413,BLACK/BLUE POLKADOT UMBRELLA,0.888250,Strong Preference,2,35.700000,146
12413,POSTAGE,0.655000,Moderate Preference,1,54.000000,246
12413,RED RETROSPOT MINI CASES,0.642250,Moderate Preference,1,47.700000,246
12414,POSTAGE,0.932273,Strong Preference,3,120.000000,127
12414,TEA TIME PARTY BUNTING,0.578376,Moderate Preference,1,79.200000,137
12414,PARTY CONES CANDY ASSORTED,0.554411,Moderate Preference,1,60.000000,137
12414,PINK PARTY BAGS,0.539415,Moderate Preference,1,50.400000,137
12414,PARTY BUNTING,0.523304,Moderate Preference,1,39.600000,127
12415,RED  HARMONICA IN BOX ,0.986356,Strong Preference,5,1780.800000,9
12415,MINI PAINT SET VINTAGE ,0.980612,Strong Preference,5,1607.400000,9
12415,ROSES REGENCY TEACUP AND SAUCER ,0.908321,Strong Preference,5,489.600000,23
12415,REGENCY CAKESTAND 3 TIER,0.885774,Strong Preference,4,1752.000000,23
12415,SET OF 3 CAKE TINS PANTRY DESIGN ,0.884247,Strong Preference,4,1704.950000,23
12417,POSTAGE,0.984007,Strong Preference,7,333.000000,16
12417,IVORY KITCHEN SCALES,0.593965,Moderate Preference,3,68.000000,36
12417,REGENCY CAKESTAND 3 TIER,0.553717,Moderate Preference,2,89.250000,16
12417,IVORY REFECTORY CLOCK,0.496338,Weak Preference,2,39.800000,16
12417,REGENCY TEA PLATE ROSES ,0.495983,Weak Preference,2,39.600000,16
12418,CHILDS BREAKFAST SET DOLLY GIRL ,0.890000,Strong Preference,1,68.000000,22
12418,CHILDS BREAKFAST SET SPACEBOY ,0.890000,Strong Preference,1,68.000000,22
12418,PARTY BUNTING,0.876795,Strong Preference,1,59.400000,22
12418,SPOTTY BUNTING,0.848805,Strong Preference,1,44.550000,22
12418,BLUE HAPPY BIRTHDAY BUNTING,0.818916,Strong Preference,1,32.700000,22
12421,POSTAGE,0.979520,Strong Preference,3,140.000000,24
12421,GIN & TONIC DIET GREETING CARD ,0.818552,Strong Preference,3,20.160000,24
12421,TEA TIME KITCHEN APRON,0.742257,Moderate Preference,2,53.550000,24
12421,CERAMIC STRAWBERRY CAKE MONEY BANK,0.740130,Moderate Preference,2,52.200000,24
12421,STRAWBERRY CERAMIC TRINKET BOX,0.727789,Moderate Preference,2,45.000000,24
12422,POSTAGE,0.956667,Strong Preference,1,120.000000,78
12422,SMALL HAMMERED SILVER CANDLEPOT ,0.851468,Strong Preference,1,35.400000,78
12422,JUMBO BAG 50'S CHRISTMAS ,0.837767,Strong Preference,1,20.800000,5
12422,JUMBO BAG APPLES,0.837767,Strong Preference,1,20.800000,5
12422,JUMBO BAG PEARS,0.837767,Strong Preference,1,20.800000,5
12423,POSTAGE,0.986198,Strong Preference,7,210.000000,10
12423,RABBIT NIGHT LIGHT,0.658556,Moderate Preference,3,98.400000,10
12423,ROUND SNACK BOXES SET OF4 WOODLAND ,0.610817,Moderate Preference,3,53.100000,10
12423,ROUND SNACK BOXES SET OF 4 FRUITS ,0.572794,Moderate Preference,3,53.100000,110
12423,RED RETROSPOT CHARLOTTE BAG,0.554808,Moderate Preference,3,25.500000,10
12424,CAKE PLATE LOVEBIRD WHITE,0.890000,Strong Preference,1,306.000000,72
12424,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.839232,Strong Preference,1,152.640000,72
12424,PARTY BUNTING,0.820986,Strong Preference,1,118.800000,72
12424,SPOTTY BUNTING,0.820986,Strong Preference,1,118.800000,72
12424,PINK BABY BUNTING,0.820495,Strong Preference,1,118.000000,72
12426,POSTAGE,0.890000,Strong Preference,1,72.000000,104
12426,ROUND SNACK BOXES SET OF4 WOODLAND ,0.821878,Strong Preference,1,35.400000,104
12426,JAM MAKING SET WITH JARS,0.790805,Moderate Preference,1,25.500000,104
12426,NO SINGING METAL SIGN,0.789690,Moderate Preference,1,25.200000,104
12426,CIRCUS PARADE LUNCH BOX ,0.782723,Moderate Preference,1,23.400000,104
12427,CHILDS BREAKFAST SET SPACEBOY ,0.890000,Strong Preference,1,68.000000,281
12427,CHILDS BREAKFAST SET CIRCUS PARADE,0.879708,Strong Preference,1,61.200000,281
12427,POSTAGE,0.867505,Strong Preference,1,54.000000,281
12427,6 RIBBONS RUSTIC CHARM,0.771051,Moderate Preference,1,19.800000,281
12427,BALLOONS  WRITING SET ,0.771051,Moderate Preference,1,19.800000,281
12428,POSTAGE,0.974456,Strong Preference,5,920.000000,30
12428,JUMBO BAG RED RETROSPOT,0.638292,Moderate Preference,3,81.900000,30
12428,CAKE STAND LOVEBIRD 2 TIER PINK,0.542561,Moderate Preference,2,79.600000,30
12428,JUMBO BAG PINK POLKADOT,0.526516,Moderate Preference,2,61.100000,30
12428,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,0.526516,Moderate Preference,2,61.100000,30
12429,POSTAGE,0.960182,Strong Preference,3,362.000000,82
12429,ALARM CLOCK BAKELIKE IVORY,0.741017,Moderate Preference,2,150.000000,82
12429,ALARM CLOCK BAKELIKE GREEN,0.715804,Moderate Preference,2,105.000000,82
12429,ALARM CLOCK BAKELIKE PINK,0.715804,Moderate Preference,2,105.000000,82
12429,ALARM CLOCK BAKELIKE ORANGE,0.704932,Moderate Preference,2,90.000000,82
12431,RED TOADSTOOL LED NIGHT LIGHT,0.979753,Strong Preference,5,923.400000,29
12431,DOORMAT SPOTTY HOME SWEET HOME,0.713622,Moderate Preference,4,63.600000,53
12431,ALARM CLOCK BAKELIKE GREEN,0.711862,Moderate Preference,4,60.000000,48
12431,ALARM CLOCK BAKELIKE RED ,0.711862,Moderate Preference,4,60.000000,48
12431,DOORMAT UNION FLAG,0.678980,Moderate Preference,3,234.300000,110
12432,AIRLINE BAG VINTAGE TOKYO 78,0.697889,Moderate Preference,2,34.000000,82
12432,POSTAGE,0.657439,Moderate Preference,1,700.000000,80
12432,SET/4 WHITE RETRO STORAGE CUBES ,0.552113,Moderate Preference,1,139.800000,82
12432,CHILDS BREAKFAST SET DOLLY GIRL ,0.550359,Moderate Preference,1,136.000000,82
12432,CHILDS BREAKFAST SET SPACEBOY ,0.550359,Moderate Preference,1,136.000000,82
12433,RECIPE BOX BLUE SKETCHBOOK DESIGN,0.964751,Strong Preference,3,132.000000,1
12433,RECIPE BOX PANTRY YELLOW DESIGN,0.964751,Strong Preference,3,132.000000,1
12433,RECIPE BOX RETROSPOT ,0.964751,Strong Preference,3,132.000000,1
12433,NO SINGING METAL SIGN,0.961021,Strong Preference,3,126.000000,1
12433,HOT WATER BOTTLE TEA AND SYMPATHY,0.940243,Strong Preference,3,97.200000,1
12434,CUSHION COVER PINK UNION JACK,0.890000,Strong Preference,1,47.600000,170
12434,SQUARECUSHION COVER PINK UNION FLAG,0.830366,Strong Preference,1,27.000000,170
12434,MIRRORED WALL ART TABLE LAMP,0.786709,Moderate Preference,1,17.700000,170
12434,RED RETROSPOT PURSE ,0.786709,Moderate Preference,1,17.700000,170
12434,RECYCLED ACAPULCO MAT BLUE,0.779537,Moderate Preference,1,16.500000,170
12435,SET 10 LIGHTS NIGHT OWL,0.890000,Strong Preference,1,428.400000,177
12435,BLACK KITCHEN SCALES,0.879347,Strong Preference,1,367.200000,177
12435,RED KITCHEN SCALES,0.879347,Strong Preference,1,367.200000,177
12435, SPACEBOY BABY GIFT SET,0.877749,Strong Preference,1,358.800000,177
12435,CIRCUS PARADE BABY GIFT SET,0.877749,Strong Preference,1,358.800000,177
12436,POSTAGE,0.890000,Strong Preference,1,80.000000,9
12436,BLUE HAPPY BIRTHDAY BUNTING,0.843988,Strong Preference,1,49.050000,9
12436,PINK HAPPY BIRTHDAY BUNTING,0.843988,Strong Preference,1,49.050000,9
12436,SPOTTY BUNTING,0.834983,Strong Preference,1,44.550000,9
12436,PARTY BUNTING,0.823988,Strong Preference,1,39.600000,9
12437,POSTAGE,0.986680,Strong Preference,9,306.000000,8
12437,RED RETROSPOT CAKE STAND,0.704694,Moderate Preference,4,229.950000,8
12437,SET/6 RED SPOTTY PAPER CUPS,0.702778,Moderate Preference,5,171.600000,87
12437,REGENCY CAKESTAND 3 TIER,0.622751,Moderate Preference,3,153.000000,8
12437,SET/6 RED SPOTTY PAPER PLATES,0.619775,Moderate Preference,4,112.440000,87
12438,POSTAGE,0.890000,Strong Preference,1,120.000000,50
12438,TRADITIONAL MODELLING CLAY,0.770738,Moderate Preference,1,30.000000,50
12438,ASSORTED TUTTI FRUTTI NOTEBOOK,0.756005,Moderate Preference,1,25.200000,50
12438,SET OF 4 KNICK KNACK TINS POPPIES,0.754996,Moderate Preference,1,24.900000,50
12438,CIRCUS PARADE LUNCH BOX ,0.749771,Moderate Preference,1,23.400000,50
12441,TEA TIME PARTY BUNTING,0.890000,Strong Preference,1,23.250000,276
12441,POSTAGE,0.857862,Strong Preference,1,18.000000,276
12441,MAKE YOUR OWN MONSOON CARD KIT,0.855765,Strong Preference,1,17.700000,276
12441,MAKE YOUR OWN PLAYTIME CARD KIT,0.855765,Strong Preference,1,17.700000,276
12441,PAPER CHAIN KIT 50'S CHRISTMAS ,0.855765,Strong Preference,1,17.700000,276
12444,REGENCY CAKESTAND 3 TIER,0.893446,Strong Preference,2,127.500000,31
