CustomerID,churn_probability,churn_prediction,threshold,churn_risk,predicted_revenue,revenue_segment,customer_segment
12429,0.274840,0,0.442809,Low Risk,1420.630000,Medium Value,Standard Customer
12431,0.092974,0,0.442809,Low Risk,3014.150000,High Value,Loyal High-Value Customer
12432,0.290286,0,0.442809,Low Risk,1977.580000,Medium Value,Standard Customer
12433,0.122049,0,0.442809,Low Risk,768.100000,Medium Value,Standard Customer
12434,0.522345,1,0.442809,Medium Risk,307.870000,Low Value,Standard Customer
12435,0.595895,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12436,0.516119,1,0.442809,Medium Risk,82.680000,Low Value,Standard Customer
12437,0.107588,0,0.442809,Low Risk,1288.990000,Medium Value,Standard Customer
12438,0.399237,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12441,0.744349,1,0.442809,High Risk,165.530000,Low Value,At-Risk Customer
12444,0.256776,0,0.442809,Low Risk,1112.970000,Medium Value,Standard Customer
12447,0.685527,1,0.442809,High Risk,109.630000,Low Value,At-Risk Customer
12449,0.209840,0,0.442809,Low Risk,1315.950000,Medium Value,Standard Customer
12450,0.579773,1,0.442809,Medium Risk,206.780000,Low Value,Standard Customer
12451,0.167402,0,0.442809,Low Risk,942.550000,Medium Value,Standard Customer
12453,0.467523,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12455,0.183014,0,0.442809,Low Risk,656.100000,Medium Value,Standard Customer
12456,0.263704,0,0.442809,Low Risk,957.020000,Medium Value,Standard Customer
12457,0.217339,0,0.442809,Low Risk,613.420000,Medium Value,Standard Customer
12458,0.672128,1,0.442809,High Risk,62.070000,Low Value,At-Risk Customer
12461,0.346128,0,0.442809,Low Risk,412.170000,Low Value,Standard Customer
12462,0.523368,1,0.442809,Medium Risk,394.870000,Low Value,Standard Customer
12463,0.228442,0,0.442809,Low Risk,510.660000,Medium Value,Standard Customer
12464,0.232015,0,0.442809,Low Risk,723.740000,Medium Value,Standard Customer
12465,0.553307,1,0.442809,Medium Risk,21.500000,Low Value,Standard Customer
12468,0.368676,0,0.442809,Medium Risk,402.060000,Low Value,Standard Customer
12471,0.083483,0,0.442809,Low Risk,6843.270000,High Value,Loyal High-Value Customer
12472,0.098705,0,0.442809,Low Risk,2083.400000,High Value,Loyal High-Value Customer
12473,0.237619,0,0.442809,Low Risk,409.730000,Low Value,Standard Customer
12474,0.084902,0,0.442809,Low Risk,1883.230000,Medium Value,Standard Customer
12476,0.105245,0,0.442809,Low Risk,2046.100000,High Value,Loyal High-Value Customer
12477,0.115035,0,0.442809,Low Risk,5850.770000,High Value,Loyal High-Value Customer
12480,0.230545,0,0.442809,Low Risk,851.640000,Medium Value,Standard Customer
12481,0.133849,0,0.442809,Low Risk,2100.360000,High Value,Loyal High-Value Customer
12483,0.138706,0,0.442809,Low Risk,906.220000,Medium Value,Standard Customer
12484,0.120543,0,0.442809,Low Risk,1689.700000,Medium Value,Standard Customer
12489,0.759281,1,0.442809,High Risk,181.850000,Low Value,At-Risk Customer
12490,0.151489,0,0.442809,Low Risk,1702.500000,Medium Value,Standard Customer
12492,0.453996,1,0.442809,Medium Risk,159.450000,Low Value,Standard Customer
12493,0.440776,0,0.442809,Medium Risk,310.290000,Low Value,Standard Customer
12494,0.153302,0,0.442809,Low Risk,516.020000,Medium Value,Standard Customer
12500,0.179214,0,0.442809,Low Risk,738.260000,Medium Value,Standard Customer
12501,0.459831,1,0.442809,Medium Risk,42.350000,Low Value,Standard Customer
12502,0.254257,0,0.442809,Low Risk,2598.400000,High Value,Loyal High-Value Customer
12503,0.772968,1,0.442809,High Risk,152.230000,Low Value,At-Risk Customer
12505,0.713808,1,0.442809,High Risk,235.610000,Low Value,At-Risk Customer
12506,0.656434,1,0.442809,High Risk,196.700000,Low Value,At-Risk Customer
12507,0.337623,0,0.442809,Low Risk,499.710000,Low Value,Standard Customer
12509,0.713862,1,0.442809,High Risk,202.890000,Low Value,At-Risk Customer
12510,0.483542,1,0.442809,Medium Risk,464.380000,Low Value,Standard Customer
12513,0.387570,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12514,0.678072,1,0.442809,High Risk,0.000000,Low Value,At-Risk Customer
12515,0.760127,1,0.442809,High Risk,169.150000,Low Value,At-Risk Customer
12516,0.587739,1,0.442809,Medium Risk,8.570000,Low Value,Standard Customer
12517,0.190804,0,0.442809,Low Risk,312.050000,Low Value,Standard Customer
12518,0.447169,1,0.442809,Medium Risk,85.230000,Low Value,Standard Customer
12520,0.172075,0,0.442809,Low Risk,955.090000,Medium Value,Standard Customer
12521,0.471500,1,0.442809,Medium Risk,9.810000,Low Value,Standard Customer
12523,0.164120,0,0.442809,Low Risk,560.540000,Medium Value,Standard Customer
12524,0.164714,0,0.442809,Low Risk,1146.480000,Medium Value,Standard Customer
12526,0.391446,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12527,0.631541,1,0.442809,Medium Risk,204.540000,Low Value,Standard Customer
12528,0.205866,0,0.442809,Low Risk,831.660000,Medium Value,Standard Customer
12530,0.246004,0,0.442809,Low Risk,638.090000,Medium Value,Standard Customer
12534,0.375881,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12535,0.418513,0,0.442809,Medium Risk,404.080000,Low Value,Standard Customer
12539,0.235981,0,0.442809,Low Risk,1148.180000,Medium Value,Standard Customer
12540,0.086979,0,0.442809,Low Risk,5435.280000,High Value,Loyal High-Value Customer
12541,0.460319,1,0.442809,Medium Risk,175.590000,Low Value,Standard Customer
12545,0.561735,1,0.442809,Medium Risk,7.260000,Low Value,Standard Customer
12547,0.627345,1,0.442809,Medium Risk,214.450000,Low Value,Standard Customer
12548,0.619735,1,0.442809,Medium Risk,183.830000,Low Value,Standard Customer
12551,0.754752,1,0.442809,High Risk,179.360000,Low Value,At-Risk Customer
12553,0.111652,0,0.442809,Low Risk,1263.870000,Medium Value,Standard Customer
12556,0.429879,0,0.442809,Medium Risk,72.550000,Low Value,Standard Customer
12557,0.223382,0,0.442809,Low Risk,4839.770000,High Value,Loyal High-Value Customer
12559,0.646853,1,0.442809,Medium Risk,364.420000,Low Value,Standard Customer
12560,0.232569,0,0.442809,Low Risk,547.920000,Medium Value,Standard Customer
12561,0.682254,1,0.442809,High Risk,117.070000,Low Value,At-Risk Customer
12562,0.261055,0,0.442809,Low Risk,724.350000,Medium Value,Standard Customer
12564,0.711151,1,0.442809,High Risk,155.240000,Low Value,At-Risk Customer
12565,0.698641,1,0.442809,High Risk,225.200000,Low Value,At-Risk Customer
12567,0.087867,0,0.442809,Low Risk,4550.170000,High Value,Loyal High-Value Customer
12569,0.097867,0,0.442809,Low Risk,1313.600000,Medium Value,Standard Customer
12571,0.481978,1,0.442809,Medium Risk,76.930000,Low Value,Standard Customer
12573,0.640376,1,0.442809,Medium Risk,157.220000,Low Value,Standard Customer
12574,0.713351,1,0.442809,High Risk,203.670000,Low Value,At-Risk Customer
12576,0.189352,0,0.442809,Low Risk,391.930000,Low Value,Standard Customer
12577,0.679026,1,0.442809,High Risk,112.950000,Low Value,At-Risk Customer
12578,0.426833,0,0.442809,Medium Risk,750.480000,Medium Value,Standard Customer
12580,0.685611,1,0.442809,High Risk,72.810000,Low Value,At-Risk Customer
12582,0.629091,1,0.442809,Medium Risk,261.050000,Low Value,Standard Customer
12583,0.100625,0,0.442809,Low Risk,1453.940000,Medium Value,Standard Customer
12584,0.210523,0,0.442809,Low Risk,584.230000,Medium Value,Standard Customer
12585,0.355657,0,0.442809,Medium Risk,787.920000,Medium Value,Standard Customer
12586,0.704288,1,0.442809,High Risk,245.800000,Low Value,At-Risk Customer
12589,0.554597,1,0.442809,Medium Risk,155.230000,Low Value,Standard Customer
12590,0.368315,0,0.442809,Medium Risk,4145.560000,High Value,Standard Customer
12591,0.743041,1,0.442809,High Risk,92.370000,Low Value,At-Risk Customer
12592,0.441990,0,0.442809,Medium Risk,212.150000,Low Value,Standard Customer
12593,0.379969,0,0.442809,Medium Risk,307.040000,Low Value,Standard Customer
12594,0.127717,0,0.442809,Low Risk,1317.530000,Medium Value,Standard Customer
12596,0.635056,1,0.442809,Medium Risk,125.840000,Low Value,Standard Customer
12597,0.327041,0,0.442809,Low Risk,456.950000,Low Value,Standard Customer
12598,0.223778,0,0.442809,Low Risk,743.410000,Medium Value,Standard Customer
12599,0.202271,0,0.442809,Low Risk,305.160000,Low Value,Standard Customer
12600,0.153496,0,0.442809,Low Risk,1416.870000,Medium Value,Standard Customer
12601,0.395491,0,0.442809,Medium Risk,424.830000,Low Value,Standard Customer
12604,0.684704,1,0.442809,High Risk,138.960000,Low Value,At-Risk Customer
12605,0.759687,1,0.442809,High Risk,245.930000,Low Value,At-Risk Customer
12609,0.365327,0,0.442809,Medium Risk,242.850000,Low Value,Standard Customer
12610,0.257669,0,0.442809,Low Risk,567.770000,Medium Value,Standard Customer
12613,0.265439,0,0.442809,Low Risk,731.790000,Medium Value,Standard Customer
12614,0.724030,1,0.442809,High Risk,187.730000,Low Value,At-Risk Customer
12615,0.498587,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12616,0.267530,0,0.442809,Low Risk,473.360000,Low Value,Standard Customer
12619,0.172109,0,0.442809,Low Risk,323.110000,Low Value,Standard Customer
12620,0.563809,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12621,0.083804,0,0.442809,Low Risk,5780.930000,High Value,Loyal High-Value Customer
12622,0.674901,1,0.442809,High Risk,181.830000,Low Value,At-Risk Customer
12623,0.671707,1,0.442809,High Risk,106.770000,Low Value,At-Risk Customer
12624,0.380554,0,0.442809,Medium Risk,261.840000,Low Value,Standard Customer
12625,0.372313,0,0.442809,Medium Risk,875.110000,Medium Value,Standard Customer
12626,0.096846,0,0.442809,Low Risk,2565.360000,High Value,Loyal High-Value Customer
12627,0.157405,0,0.442809,Low Risk,1216.010000,Medium Value,Standard Customer
12633,0.214785,0,0.442809,Low Risk,878.470000,Medium Value,Standard Customer
12635,0.431478,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12637,0.097051,0,0.442809,Low Risk,3082.250000,High Value,Loyal High-Value Customer
12639,0.684193,1,0.442809,High Risk,104.960000,Low Value,At-Risk Customer
12641,0.543479,1,0.442809,Medium Risk,162.820000,Low Value,Standard Customer
12642,0.433512,0,0.442809,Medium Risk,19.530000,Low Value,Standard Customer
12643,0.277968,0,0.442809,Low Risk,1740.920000,Medium Value,Standard Customer
12644,0.433742,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12645,0.220169,0,0.442809,Low Risk,552.110000,Medium Value,Standard Customer
12647,0.117572,0,0.442809,Low Risk,1903.740000,Medium Value,Standard Customer
12648,0.559402,1,0.442809,Medium Risk,108.350000,Low Value,Standard Customer
12649,0.276998,0,0.442809,Low Risk,193.710000,Low Value,Standard Customer
12651,0.738489,1,0.442809,High Risk,187.870000,Low Value,At-Risk Customer
12652,0.605886,1,0.442809,Medium Risk,333.890000,Low Value,Standard Customer
12653,0.386310,0,0.442809,Medium Risk,740.590000,Medium Value,Standard Customer
12654,0.516230,1,0.442809,Medium Risk,298.530000,Low Value,Standard Customer
12656,0.188758,0,0.442809,Low Risk,1513.210000,Medium Value,Standard Customer
12662,0.121506,0,0.442809,Low Risk,1403.310000,Medium Value,Standard Customer
12664,0.335979,0,0.442809,Low Risk,1205.000000,Medium Value,Standard Customer
12665,0.710397,1,0.442809,High Risk,225.660000,Low Value,At-Risk Customer
12666,0.789837,1,0.442809,High Risk,265.190000,Low Value,At-Risk Customer
12668,0.257217,0,0.442809,Low Risk,1452.930000,Medium Value,Standard Customer
12669,0.206999,0,0.442809,Low Risk,562.210000,Medium Value,Standard Customer
12670,0.253462,0,0.442809,Low Risk,761.750000,Medium Value,Standard Customer
12672,0.736464,1,0.442809,High Risk,195.180000,Low Value,At-Risk Customer
12673,0.690634,1,0.442809,High Risk,118.150000,Low Value,At-Risk Customer
12674,0.224854,0,0.442809,Low Risk,658.520000,Medium Value,Standard Customer
12676,0.285127,0,0.442809,Low Risk,573.500000,Medium Value,Standard Customer
12678,0.097258,0,0.442809,Low Risk,4024.380000,High Value,Loyal High-Value Customer
12679,0.360312,0,0.442809,Medium Risk,490.200000,Low Value,Standard Customer
12680,0.451728,1,0.442809,Medium Risk,52.600000,Low Value,Standard Customer
12681,0.089735,0,0.442809,Low Risk,5489.760000,High Value,Loyal High-Value Customer
12682,0.085304,0,0.442809,Low Risk,5298.290000,High Value,Loyal High-Value Customer
12683,0.085968,0,0.442809,Low Risk,3256.300000,High Value,Loyal High-Value Customer
12684,0.258334,0,0.442809,Low Risk,318.410000,Low Value,Standard Customer
12685,0.233635,0,0.442809,Low Risk,361.310000,Low Value,Standard Customer
12686,0.756821,1,0.442809,High Risk,172.680000,Low Value,At-Risk Customer
12688,0.278699,0,0.442809,Low Risk,0.000000,Low Value,Standard Customer
12689,0.415769,0,0.442809,Medium Risk,23.430000,Low Value,Standard Customer
12690,0.628197,1,0.442809,Medium Risk,164.180000,Low Value,Standard Customer
12691,0.328796,0,0.442809,Low Risk,439.580000,Low Value,Standard Customer
12693,0.261377,0,0.442809,Low Risk,627.370000,Medium Value,Standard Customer
12694,0.560003,1,0.442809,Medium Risk,7.580000,Low Value,Standard Customer
12695,0.382437,0,0.442809,Medium Risk,235.750000,Low Value,Standard Customer
12697,0.314260,0,0.442809,Low Risk,412.230000,Low Value,Standard Customer
12700,0.209506,0,0.442809,Low Risk,623.510000,Medium Value,Standard Customer
12701,0.652688,1,0.442809,High Risk,62.630000,Low Value,At-Risk Customer
12704,0.290323,0,0.442809,Low Risk,591.000000,Medium Value,Standard Customer
12705,0.116572,0,0.442809,Low Risk,1814.660000,Medium Value,Standard Customer
12707,0.719805,1,0.442809,High Risk,74.900000,Low Value,At-Risk Customer
12708,0.104419,0,0.442809,Low Risk,1100.250000,Medium Value,Standard Customer
12709,0.087475,0,0.442809,Low Risk,4508.810000,High Value,Loyal High-Value Customer
12710,0.262434,0,0.442809,Low Risk,380.440000,Low Value,Standard Customer
12712,0.103773,0,0.442809,Low Risk,2892.330000,High Value,Loyal High-Value Customer
12714,0.139003,0,0.442809,Low Risk,1106.500000,Medium Value,Standard Customer
12715,0.472220,1,0.442809,Medium Risk,78.250000,Low Value,Standard Customer
12716,0.397578,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12717,0.324009,0,0.442809,Low Risk,476.940000,Low Value,Standard Customer
12720,0.085452,0,0.442809,Low Risk,1130.120000,Medium Value,Standard Customer
12721,0.192511,0,0.442809,Low Risk,674.570000,Medium Value,Standard Customer
12722,0.201971,0,0.442809,Low Risk,399.930000,Low Value,Standard Customer
12724,0.504310,1,0.442809,Medium Risk,213.590000,Low Value,Standard Customer
12725,0.754436,1,0.442809,High Risk,145.780000,Low Value,At-Risk Customer
12726,0.210474,0,0.442809,Low Risk,0.000000,Low Value,Standard Customer
12727,0.120378,0,0.442809,Low Risk,1774.490000,Medium Value,Standard Customer
12728,0.525239,1,0.442809,Medium Risk,425.600000,Low Value,Standard Customer
12729,0.448212,1,0.442809,Medium Risk,56.960000,Low Value,Standard Customer
12731,0.102591,0,0.442809,Low Risk,6591.740000,High Value,Loyal High-Value Customer
12732,0.587768,1,0.442809,Medium Risk,147.590000,Low Value,Standard Customer
12733,0.690735,1,0.442809,High Risk,141.610000,Low Value,At-Risk Customer
12734,0.742484,1,0.442809,High Risk,187.230000,Low Value,At-Risk Customer
12735,0.633660,1,0.442809,Medium Risk,360.740000,Low Value,Standard Customer
12736,0.737800,1,0.442809,High Risk,133.650000,Low Value,At-Risk Customer
12738,0.709348,1,0.442809,High Risk,145.720000,Low Value,At-Risk Customer
12739,0.373437,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12743,0.297298,0,0.442809,Low Risk,177.710000,Low Value,Standard Customer
12744,0.106780,0,0.442809,Low Risk,3960.290000,High Value,Loyal High-Value Customer
12747,0.149145,0,0.442809,Low Risk,1956.810000,Medium Value,Standard Customer
12748,0.084647,0,0.442809,Low Risk,4203.770000,High Value,Loyal High-Value Customer
12749,0.145807,0,0.442809,Low Risk,1499.150000,Medium Value,Standard Customer
12750,0.512994,1,0.442809,Medium Risk,121.970000,Low Value,Standard Customer
12753,0.090522,0,0.442809,Low Risk,8655.950000,High Value,Loyal High-Value Customer
12754,0.209826,0,0.442809,Low Risk,0.000000,Low Value,Standard Customer
12755,0.561396,1,0.442809,Medium Risk,1300.050000,Medium Value,Standard Customer
12757,0.101121,0,0.442809,Low Risk,840.530000,Medium Value,Standard Customer
12758,0.249864,0,0.442809,Low Risk,160.090000,Low Value,Standard Customer
12759,0.380997,0,0.442809,Medium Risk,303.730000,Low Value,Standard Customer
12763,0.462634,1,0.442809,Medium Risk,228.400000,Low Value,Standard Customer
12764,0.729490,1,0.442809,High Risk,63.740000,Low Value,At-Risk Customer
12766,0.150083,0,0.442809,Low Risk,2407.810000,High Value,Loyal High-Value Customer
12769,0.684174,1,0.442809,High Risk,39.370000,Low Value,At-Risk Customer
12770,0.646711,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12775,0.253137,0,0.442809,Low Risk,552.860000,Medium Value,Standard Customer
12778,0.389979,0,0.442809,Medium Risk,203.010000,Low Value,Standard Customer
12779,0.137774,0,0.442809,Low Risk,1739.310000,Medium Value,Standard Customer
12781,0.588559,1,0.442809,Medium Risk,252.080000,Low Value,Standard Customer
12782,0.204436,0,0.442809,Low Risk,1108.240000,Medium Value,Standard Customer
12785,0.748574,1,0.442809,High Risk,166.750000,Low Value,At-Risk Customer
12787,0.367403,0,0.442809,Medium Risk,213.860000,Low Value,Standard Customer
12790,0.619045,1,0.442809,Medium Risk,110.580000,Low Value,Standard Customer
12791,0.743929,1,0.442809,High Risk,192.230000,Low Value,At-Risk Customer
12792,0.684963,1,0.442809,High Risk,87.280000,Low Value,At-Risk Customer
12793,0.683602,1,0.442809,High Risk,298.580000,Low Value,At-Risk Customer
12794,0.424776,0,0.442809,Medium Risk,52.800000,Low Value,Standard Customer
12797,0.699363,1,0.442809,High Risk,277.050000,Low Value,At-Risk Customer
12798,0.439968,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12802,0.503325,1,0.442809,Medium Risk,192.930000,Low Value,Standard Customer
12808,0.531562,1,0.442809,Medium Risk,264.700000,Low Value,Standard Customer
12809,0.480223,1,0.442809,Medium Risk,289.380000,Low Value,Standard Customer
12811,0.596768,1,0.442809,Medium Risk,372.770000,Low Value,Standard Customer
12814,0.461838,1,0.442809,Medium Risk,178.470000,Low Value,Standard Customer
12815,0.465131,1,0.442809,Medium Risk,484.650000,Low Value,Standard Customer
12816,0.413891,0,0.442809,Medium Risk,389.800000,Low Value,Standard Customer
12817,0.701827,1,0.442809,High Risk,205.370000,Low Value,At-Risk Customer
12818,0.434038,0,0.442809,Medium Risk,375.490000,Low Value,Standard Customer
12820,0.726400,1,0.442809,High Risk,141.310000,Low Value,At-Risk Customer
12821,0.692395,1,0.442809,High Risk,175.460000,Low Value,At-Risk Customer
12823,0.370115,0,0.442809,Medium Risk,1006.150000,Medium Value,Standard Customer
12826,0.235906,0,0.442809,Low Risk,270.000000,Low Value,Standard Customer
12828,0.295228,0,0.442809,Low Risk,331.290000,Low Value,Standard Customer
12829,0.676912,1,0.442809,High Risk,106.490000,Low Value,At-Risk Customer
12830,0.116866,0,0.442809,Low Risk,0.000000,Low Value,Standard Customer
12831,0.689991,1,0.442809,High Risk,144.220000,Low Value,At-Risk Customer
12832,0.425420,0,0.442809,Medium Risk,117.830000,Low Value,Standard Customer
12833,0.526292,1,0.442809,Medium Risk,115.310000,Low Value,Standard Customer
12834,0.718059,1,0.442809,High Risk,165.720000,Low Value,At-Risk Customer
12836,0.219833,0,0.442809,Low Risk,986.050000,Medium Value,Standard Customer
12837,0.615640,1,0.442809,Medium Risk,200.230000,Low Value,Standard Customer
12838,0.712222,1,0.442809,High Risk,70.250000,Low Value,At-Risk Customer
12839,0.107458,0,0.442809,Low Risk,1397.380000,Medium Value,Standard Customer
12840,0.209716,0,0.442809,Low Risk,1362.830000,Medium Value,Standard Customer
12841,0.087777,0,0.442809,Low Risk,1243.450000,Medium Value,Standard Customer
12842,0.701491,1,0.442809,High Risk,139.470000,Low Value,At-Risk Customer
12843,0.148211,0,0.442809,Low Risk,1011.510000,Medium Value,Standard Customer
12844,0.533932,1,0.442809,Medium Risk,147.370000,Low Value,Standard Customer
12845,0.563035,1,0.442809,Medium Risk,285.780000,Low Value,Standard Customer
12849,0.552680,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12851,0.473927,1,0.442809,Medium Risk,103.640000,Low Value,Standard Customer
12852,0.664634,1,0.442809,High Risk,264.480000,Low Value,At-Risk Customer
12853,0.159274,0,0.442809,Low Risk,1180.980000,Medium Value,Standard Customer
12854,0.344274,0,0.442809,Low Risk,428.340000,Low Value,Standard Customer
12855,0.755784,1,0.442809,High Risk,226.530000,Low Value,At-Risk Customer
12857,0.557302,1,0.442809,Medium Risk,544.700000,Medium Value,Standard Customer
12863,0.592677,1,0.442809,Medium Risk,219.230000,Low Value,Standard Customer
12864,0.564256,1,0.442809,Medium Risk,66.730000,Low Value,Standard Customer
12865,0.333628,0,0.442809,Low Risk,320.280000,Low Value,Standard Customer
12866,0.731225,1,0.442809,High Risk,135.910000,Low Value,At-Risk Customer
12867,0.097619,0,0.442809,Low Risk,262.040000,Low Value,Standard Customer
12868,0.236519,0,0.442809,Low Risk,806.360000,Medium Value,Standard Customer
12870,0.746477,1,0.442809,High Risk,244.870000,Low Value,At-Risk Customer
12871,0.634771,1,0.442809,Medium Risk,171.960000,Low Value,Standard Customer
12872,0.599646,1,0.442809,Medium Risk,281.540000,Low Value,Standard Customer
12873,0.743479,1,0.442809,High Risk,168.850000,Low Value,At-Risk Customer
12875,0.485888,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12876,0.456309,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12877,0.140953,0,0.442809,Low Risk,495.070000,Low Value,Standard Customer
12878,0.427781,0,0.442809,Medium Risk,263.440000,Low Value,Standard Customer
12879,0.425918,0,0.442809,Medium Risk,170.110000,Low Value,Standard Customer
12881,0.720515,1,0.442809,High Risk,235.240000,Low Value,At-Risk Customer
12885,0.362361,0,0.442809,Medium Risk,261.680000,Low Value,Standard Customer
12886,0.402014,0,0.442809,Medium Risk,292.330000,Low Value,Standard Customer
12888,0.576908,1,0.442809,Medium Risk,359.180000,Low Value,Standard Customer
12891,0.439887,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12897,0.609316,1,0.442809,Medium Risk,240.550000,Low Value,Standard Customer
12901,0.085561,0,0.442809,Low Risk,2688.820000,High Value,Loyal High-Value Customer
12902,0.683940,1,0.442809,High Risk,186.610000,Low Value,At-Risk Customer
12904,0.507651,1,0.442809,Medium Risk,93.150000,Low Value,Standard Customer
12908,0.389877,0,0.442809,Medium Risk,6.950000,Low Value,Standard Customer
12909,0.232778,0,0.442809,Low Risk,793.580000,Medium Value,Standard Customer
12910,0.255811,0,0.442809,Low Risk,721.660000,Medium Value,Standard Customer
12913,0.485312,1,0.442809,Medium Risk,557.970000,Medium Value,Standard Customer
12915,0.496007,1,0.442809,Medium Risk,313.150000,Low Value,Standard Customer
